"행정구역","남자인구","여자인구"
"경기도",6840138,6749224
"강원도",774387,764791
"충청북도",811286,785877
"충청남도",1085037,1035974
"전라북도",884164,892785
"전라남도",918956,906578
"경상북도",1317139,1294877
"경상남도",1658198,1635511
"제주특별자치도",339951,338540
"부산광역시",1629643,1704952
"대구광역시",1168845,1205275
"인천광역시",1482177,1478403
"광주광역시",709305,725398
"대전광역시",722366,725816
"울산광역시",572615,542138
"서울특별시",4604405,4888806
"세종특별자치시",190038,190851
